id,de,fr,it,en
App-About,Informationen,Informations,Informazioni,Information
App-Lang,Sprache,Langue,Lingua,Language
App-Share,Teilen,Partager,Condividere,Share
App-Warning,"Sie verwenden einen veralteten Browser. Um die website in vollem Umfang nutzen zu können, empfehlen wir Ihnen, einen neueren Browser zu installieren.","Vous utilisez un navigateur trop ancien. Pour utiliser toute les possibilités de ce site web, nous vous conseillons d'installer un navigateur plus récent.","Si sta utilizzando un browser non completamente supportato. Per sfruttare appieno le funzionalità di questo sito web, consigliamo di installare un browser più recente","You are using an outdated browser. Please upgrade your browser to improve your experience."
Finish-Email,E-mail,e-mail,e-mail,E-mail
Finish-Like,Like,Like,Mi piace,Like
Finish-Restart,Neustart,Nouvelle partie,Nuova partita,New Game
Finish-Text,Teilen Sie Ihr Endergebnis von __score__,Partagez votre résultat de __score__,Condivida il suo risultato finale di __score__,Share your score of __score__
Finish-Tweet,Tweet,Tweet,Tweet,Tweet
Game-Close,Beenden,Fermer,Chiudere,Close
Game-Confirm,Bestätige Schätzung,Confirme ton estimation,Confermare,Confirm guess
Game-Guess,Rate,Devine,Stimare la posizione,Make a guess
Game-Start,Start,Start,Start,Start
Head-BAR,Bundesamt für Kultur,Office fédéral de la culture,Ufficio federale della cultura,Federal office of culture
Head-CH,Bundesverwaltung admin.ch,Administration fédérale admin.ch,Amministrazione federale admin.ch,Federal Administration admin.ch
Head-EDI,Eidg. Departement des Innern,Département fédéral de l'intérieur,Dipartimento federale dell'interno,Federal Department of Home Affairs
Photo-Copyright,Bundesamt für Kultur,Office fédéral de la culture,Ufficio federale della cultura,Federal office of culture
Photo-Counter,Foto,Photo,Foto,Photo
Photo-Restart,Neustart,Nouvelle partie,Nuova partita,Restart game
Photo-Text,Wo wurde das Foto aufgenommen? Klick in die Karte.,Où a été prise la photographie? Clique sur la carte.,Dove è stata scattata la foto? Cliccare sulla mappa.,Where do you think has the photo been taken? Click anywhere on the map.
Result-1,Mehr Glück beim nächsten Mal....,Plus de chance la prochaine fois...,Sarà più fortunato la prossima volta ...,Better luck next time...
Result-2,Gut gemacht.,Bien joué.,Perfetto.,Well done.
Result-3,Exzellent!,Excellent!,Eccellente !,Excellent!
Result-Continue,Weiter,Continue,Continuare,Continue
Result-From,von der korrekten Position und erhalte,de la position correcte et obtiens,dalla posizione esatta. Ottiene,from the correct location and got
Result-Points,Punkte.,points.,punti.,points.
Result-Score,Letztes Ergebnis,Dernier résultat,Risultato finale,Last round score:
Result-Total,Total,Total,Totale,Total
Share-Message,Ich habe __score__ Punkte auf SwissGuesser gemacht! Schaffst du mehr?,J'ai réalisé un total de __score__ points sur SwissGuesser! Es-tu capable de faire mieux?,Ho ottenuto un risultato di __score__ points su SwissGuesser! Riesci a superarmi?,I just scored __score__ playing SwissGuesser! Can you top it?
Start-Copyright,Copyright und Datenschutzerklärung,Conditions d'utilisation,Copyright e protezione dei diritti d'autore,Copyright and Data protection
Start-Credit,Umgesetzt mit,Réalisé avec,Realizzato con,Realized with
Start-Loading,"Bitte warten, laden ...","Veuillez patienter pendant le chargement...","Attendere il caricamento ...","Please wait, loading ..."
Start-Text,"Die Schweiz ist das Seilbahnland par excellence. Das <a href='http://www.bak.admin.ch/kulturerbe/04273/04296/index.html?lang=de'>Bundesamt für Kultur BAK</a> als Fachstelle erfasst die denkmalpflegerischen Werte der Seilbahnen in der Schweiz im <a href='http://www.seilbahninventar.ch'>Schweizer Seilbahninventar</a>. Erkennen Sie die Bahnen und können die Talstationen geographisch zuordnen?","La Suisse est le pays du funiculaire par excellence. L'<a href='http://www.bak.admin.ch/kulturerbe/04273/04296/index.html?lang=fr'>Office fédéral de la culture OFC</a>, en tant qu'organisme spécialisé, recense la valeur du patrimoine culturel des remontées mécaniques en Suisse <a href='http://www.seilbahninventar.ch/search.php?reset=1&lang=fr'> dans l'inventaire suisse des installations à câbles</a>. Reconnaissez-vous les funiculaires et pouvez-vous localiser les stations de départ ?","La Svizzera è il paese degli impianti a fune per eccellenza. L'<a href='http://www.bak.admin.ch/kulturerbe/04273/04296/index.html?lang=it'>Ufficio federale della cultura UFC</a>, in qualità di servizio specializzato per la conservazione del patrimonio culturale e storico, preserva il valore degli impianti a fune in Svizzera nell'<a href='http://www.seilbahninventar.ch/search.php?reset=1&lang=it'>Inventario svizzero degli impianti a fune</a>. Riconosce le tratte e riesce ad associarle alle relative stazioni a valle?","Switzerland is the cable car country par excellence. <a href='http://www.bak.admin.ch/kulturerbe/04273/04296/index.html?lang=de'>The Federal Office of Culture</a> as a specialized body records the historic preservation values of the cable cars in Switzerland <a href='http://www.seilbahninventar.ch'> Swiss cable car inventory </a>. Do you recognize the cable cars and can you position them on the map?"
Start-Title,SwissGuesser: Schweizer Seilbahninventar,"SwissGuesser: 
Inventaire suisse des installations à câbles","SwissGuesser:
Inventario svizzero degli impianti a fune","SwissGuesser: Swiss cable car inventory"
Toggle-Map,Karte,Carte,Mappa,Map
Toggle-Photo,Foto,Photo,Foto,Photo
